#№ п/п	t		Uin		Uout
49
0	20.000000	0.000000 	35.000000
1	21.428571	0.000000		35.000000
2	22.857143	0.000000		35.000000
3	24.285714	0.000000		35.000000
4	25.714286	0.000000		35.000000
5	27.142857	0.000000		35.000000
6	28.571429	0.000000		35.000000
7	30.000000	0.000000		35.000000
8	31.428571	7.142857		35.000000
9	32.857143	14.285714	45.714286
10	34.285714	21.428571	63.571429
11	35.714286	28.571429	81.428571
12	37.142857	35.714286	85.000000
13	38.571429	42.857143	85.000000
14	40.000000	50.000000	85.000000
15	41.428571	57.142857	85.000000
16	42.857143	64.285714	85.000000
17	44.285714	71.428571	85.000000
18	45.714286	73.809524	85.000000
19	47.142857	71.428571	85.000000
20	48.571429	69.047619	85.000000
21	50.000000	66.666667	85.000000
22	51.428571	64.285714	85.000000
23	52.857143	61.904762	85.000000
24	54.285714	59.523810	85.000000
25	55.714286	57.142857	85.000000
26	57.142857	54.761905	85.000000
27	58.571429	52.380952	85.000000
28	60.000000	50.000000	85.000000
29	61.428571	47.619048	85.000000
30	62.857143	45.238095	85.000000
31	64.285714	42.857143	85.000000
32	65.714286	40.476190	85.000000
33	67.142857	38.095238	85.000000
34	68.571429	35.714286	85.000000
35	70.000000	33.333333	85.000000
36	71.428571	30.952381	85.000000
37	72.857143	28.571429	81.428571
38	74.285714	26.190476	75.476190
39	75.714286	23.809524	69.523810
40	77.142857	21.428571	63.571429
41	78.571429	19.047619	57.619048
42	80.000000	16.666667	51.666667
43	81.428571	14.285714	45.714286
44	82.857143	11.904762	39.761905
45	84.285714	9.523810		35.000000
46	85.714286	7.142857		35.000000
47	87.142857	4.761905		35.000000
48	88.571429	2.380952		35.000000
49	90.000000	0.000000		35.000000
#dt=1.428571
#Характеристика 				W=0.636364
#Найдена с относительной прогрешностью 	MeaErW=0.003636
#При числе промежутков 			N=98
