#№ п/п	t		Uin		Uout
10
0	20.000000	0.000000		35.000000
1	27.000000	0.000000		35.000000
2	34.000000	20.000000	60.000000
3	41.000000	55.000000	85.000000
4	48.000000	70.000000	85.000000
5	55.000000	58.333333	85.000000
6	62.000000	46.666667	85.000000
7	69.000000	35.000000	85.000000
8	76.000000	23.333333	68.333333
9	83.000000	11.666667	39.166667
10	90.000000	0.000000		35.000000
#dt=7.000000
#Характеристика 				W=0.641975
#Найдена с относительной прогрешностью 	MeaErW=0.007829
#При числе промежутков 			N=80
